contributor,contributor_iso_3,contributor_capital,contributor_capital_latitude,contributor_capital_longitude,contributor_continent,contributor_region,contributor_un_bloc,contributor_p5g4a3,contributor_nam,contributor_g77,contributor_au,contributor_arab_league,contributor_oic,contributor_cis,contributor_g20,contributor_eu,contributor_nato,contributor_g8,contributor_oecd,contributor_asean,contributor_oas,contributor_shanghai,contributor_gcc,contributor_uma,contributor_comesa,contributor_censad,contributor_eac,contributor_eccas,contributor_ecowas,contributor_igad,contributor_sadc
Kyrgyzstan,KGZ,Bishkek,42.9002,74.7668,Asia,Central Asia,APG,None,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bolivia,BOL,La Paz (adm.)/sucre,-16.3334,-68.1667,South America,South America,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,Zagreb,45.8335,15.9669,Europe,Southern Europe,EEG,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,Pretoria (adm.) / Ca,-25.7335,28.2,Africa,Southern Africa,AG,A3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mozambique,MOZ,Maputo,-25.9669,32.5334,Africa,Eastern Africa,AG,None,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Libya,LBY,Tripoli,32.8168,13.1167,Africa,Northern Africa,AG,None,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Bosnia and Herzegovina,BIH,Sarajevo,43.8668,18.4334,Europe,Southern Europe,EEG,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,Santo Domingo,18.5001,-69.9835,South America,Caribbean,GRULAC,None,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Samoa,WSM,Apia,-13.8335,-171.833,Oceania,Polynesia,APG,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,Port-Vila,-17.7502,168.3,Oceania,Melanesia,APG,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,Asuncion,-25.1667,-57.5001,South America,South America,GRULAC,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,MNG,Ulan Bator,47.9167,106.917,Asia,Eastern Asia,APG,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,IRN,Tehran,35.7335,51.5001,Asia,Southern Asia,APG,None,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MUS,Port Louis,-20.1644,57.5041,Africa,Eastern Africa,AG,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
